session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14617238	1097.425	960.375	888.1522078	0.154309136	Female	Moderately conservative	Multiracial	us	24	-0.15	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	97	100	4	29	32	77	15	31	-12	50	NA	NA	NA	NA	NA	NA	Control	Incongruent first	47.8	36.8	-11
14617305	610.825	685.325	174.0117685	0.428131963	Male	Moderately liberal	White	us	30	-0.43	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	30	23	24	8	7	5	21	-1	0	-1	The options for white individuals were associated with negative/selfish/illegal things and the options for black individuals were associated with positive/giving things.	White individuals seemed to be more associated with immoral actions.	1	1	2	2	Experimental	Congruent first	14.8	8.4	-6.4
14617320	1107.125	710.1	715.7624154	0.554688248	Female	Neutral	Native American	us	48	-0.55	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Incongruent first	NA	NA	NA
14617395	845.475	1038.075	422.0703935	-0.456321986	Female	Strongly liberal	White	us	34	0.44	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	14	16	0	0	0	-1	-1	0	-8	-13	All the white men had antisocial options and all the black men had prosocial options	"All the white men were examples of immoral behavior, all the black men were examples of positive behavior."	1	1	2	2	Experimental	Incongruent first	2.6	-1.2	-3.8
14617712	1182.25	1383.25	916.6251874	0.21928265	Female	Strongly liberal	White	us	54	-0.22	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	48	-1	7	3	13	4	-3	2	0	1	NA	NA	NA	NA	NA	NA	Control	Congruent first	15	-0.2	-15.2
14617718	737.35	764.475	253.0281514	-0.10720151	Female	Strongly liberal	White	us	33	0.11	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	63	-7	39	0	1	38	97	-42	-24	-30	The white men were responsible for negative actions.	The white men were perceived as immoral.	1	1	2	2	Experimental	Incongruent first	28.2	-1.2	-29.4
14617744	484.275	641.95	266.2955431	0.592105291	Female	Slightly liberal	White	us	23	-0.31	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	19	3	15	-2	-3	-4	2	3	-5	-19	NA	NA	2	4	4	1	Experimental	Congruent first	5	-3.2	-8.2
14617775	701.825	951.425	411.1165524	0.6071271	Female	Slightly conservative	White	us	45	-0.68	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	45	42	58	48	48	50	47	49	46	47	no	no	2	4	4	1	Experimental	Congruent first	49.8	46.2	-3.6
14617801	818.025	786.875	228.5933264	0.136268195	Female	Slightly liberal	White	us	61	-0.13	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	67	66	-12	0	0	0	27	-1	-1	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	11	18	7
14617827	786.4	861.9	331.2060088	0.227954802	Female	Slightly liberal	Black	us	38	-0.23	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	-24	100	69	47	81	-2	-72	-75	-60	NA	NA	NA	NA	NA	NA	Control	Congruent first	79.4	-46.6	-126
14617884	859.175	554.8	394.3869299	-0.771767462	Female	Neutral	Black	us	23	0.76	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-3	-5	99	-2	-2	67	49	-53	-84	-2	no	yes	1	4	4	1	Experimental	Congruent first	31.8	-19	-50.8
14617917	871.65	885.275	404.9693829	-0.033644519	Female	Moderately liberal	White	us	62	0.03	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	3	4	-2	-2	-1	-1	-2	-1	-1	-2	None f them were smiling	the white individuals were generally immoral and the black individuals were moral	1	1	2	2	Experimental	Incongruent first	-0.6	-0.4	0.2
14617958	987.425	920.35	322.539802	-0.20795883	Female	Neutral	Middle Eastern	us	21	0.2	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	1	-1	91	53	24	25	93	39	36	47	They all looked average	No	2	4	4	1	Experimental	Congruent first	38.8	42.8	4
14618021	1052.25	1189.7	504.0008784	0.272717779	Female	Moderately liberal	Asian	us	63	-0.27	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	0	44	1	1	-1	2	-2	-1	0	-2	NA	NA	NA	NA	NA	NA	Control	Congruent first	0.6	7.8	7.2
14618162	903.5	910.475	795.7922809	0.00876485	Female	Neutral	White	us	21	-0.02	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	0	0	-1	-1	-1	-1	-1	-1	-1	-1	They were all wearing a grey crewneck	no	2	4	4	1	Experimental	Congruent first	-0.8	-0.8	0
14618186	862.775	745.475	441.5435347	0.265658969	Female	Moderately conservative	Hispanic	us	56	-0.26	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	100	100	100	100	100	100	100	100	100	100	NA	NA	NA	NA	NA	NA	Control	Incongruent first	100	100	0
14618234	722.5	673.175	229.6401943	0.214792537	Male	Neutral	Black	us	21	-0.21	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	63	49	-1	-1	-1	0	-1	-1	0	-18	Many of the images appeared to resemble mugshots	whites were viewed as more likely to engage in aggressive behavior compared to blacks	1	1	2	2	Experimental	Incongruent first	12	5.8	-6.2
14618313	758.325	659.425	266.7605182	-0.370744519	Female	Moderately liberal	White	us	58	0.36	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	9	-22	21	41	18	44	13	-7	-16	-12	One man appeared to be Black but also perhaps Native American or Latinx	"I noticed that the White individuals were generally immoral, whereas the Black individuals were generally moral."	1	1	2	3	Experimental	Congruent first	26.6	-8.8	-35.4
