session_id	 user_id	 study_name	 session_date	 session_status	 creation_date	 last_update_date	  previous_session_id	 previous_session_schema	 referrer	  study_url	 user_agent
15180638	11899896	alexandersanchez.exemplars10	14Dec2021 19:57:12	null	14Dec2021 19:57:12	NULL 	0	null	https://implicit.harvard.edu/implicit/research/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15180672	11900688	alexandersanchez.exemplars10	14Dec2021 20:04:53	null	14Dec2021 20:04:53	NULL 	15180671	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36
15180677	11900492	alexandersanchez.exemplars10	14Dec2021 20:05:47	null	14Dec2021 20:05:47	NULL 	15180676	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
15180699	11900695	alexandersanchez.exemplars10	14Dec2021 20:10:41	null	14Dec2021 20:10:41	NULL 	15180694	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15180712	11900698	alexandersanchez.exemplars10	14Dec2021 20:13:37	null	14Dec2021 20:13:37	NULL 	15180695	r	https://cloud.scorm.com/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36
15180730	11900702	alexandersanchez.exemplars10	14Dec2021 20:18:00	null	14Dec2021 20:18:00	NULL 	2662036557	s	https://www.google.com/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180754	11900710	alexandersanchez.exemplars10	14Dec2021 20:25:53	null	14Dec2021 20:25:53	NULL 	2662036772	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36
15180769	11900706	alexandersanchez.exemplars10	14Dec2021 20:34:12	null	14Dec2021 20:34:12	NULL 	15180742	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36 Edg/96.0.1054.53
15180815	11900608	alexandersanchez.exemplars10	14Dec2021 20:51:42	null	14Dec2021 20:51:42	NULL 	15180813	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180834	11900665	alexandersanchez.exemplars10	14Dec2021 21:00:54	null	14Dec2021 21:00:54	NULL 	15180832	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180847	11900738	alexandersanchez.exemplars10	14Dec2021 21:03:41	null	14Dec2021 21:03:41	NULL 	15180843	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15180854	11900739	alexandersanchez.exemplars10	14Dec2021 21:04:48	null	14Dec2021 21:04:48	NULL 	2662037470	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36
15180859	11900546	alexandersanchez.exemplars10	14Dec2021 21:08:14	null	14Dec2021 21:08:14	NULL 	15180818	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180871	11900650	alexandersanchez.exemplars10	14Dec2021 21:11:51	null	14Dec2021 21:11:51	NULL 	15180736	r	https://implicit.harvard.edu/implicit/research/registration/Register.jsp	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36 Edg/96.0.1054.53
15180877	11900744	alexandersanchez.exemplars10	14Dec2021 21:13:14	null	14Dec2021 21:13:14	NULL 	2662037628	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180912	11900740	alexandersanchez.exemplars10	14Dec2021 21:25:25	null	14Dec2021 21:25:25	NULL 	15180883	r	https://implicit.harvard.edu/implicit/research/registration/Register.jsp	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko
15180930	11900094	alexandersanchez.exemplars10	14Dec2021 21:31:17	null	14Dec2021 21:31:17	NULL 	0	null	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15180931	11900761	alexandersanchez.exemplars10	14Dec2021 21:31:32	null	14Dec2021 21:31:32	NULL 	15180920	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
15180942	11900759	alexandersanchez.exemplars10	14Dec2021 21:33:45	null	14Dec2021 21:33:45	NULL 	2662037901	s	https://www.myhotelschool.nl/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36
15180950	11900764	alexandersanchez.exemplars10	14Dec2021 21:36:00	null	14Dec2021 21:36:00	NULL 	15180947	r	https://www.ascd.org/	/user/alexandersanchez/exemplars10/alexandersanchez.exemplars10.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15
